wallet,predicted_score,risk_category
User_1184,20.0,High
User_1185,239.08,High
User_1186,363.59,High
User_1187,111.57,High
User_1188,945.34,Low
User_1189,966.77,Low
User_1190,10.1,High
User_1191,115.2,High
User_1192,123.85,High
User_1193,466.44,Medium
User_1194,37.19,High
User_1195,20.0,High
User_1196,20.0,High
User_1197,0.0,High
User_1198,31.89,High
User_1199,55.13,High
User_1200,40.07,High
User_1201,99.29,High
User_1202,175.7,High
User_1203,40.07,High
User_1204,80.39,High
User_1205,1000.0,Low
User_1206,318.91,High
User_1207,772.53,Low
User_1208,999.96,Low
User_1209,40.07,High
User_1210,47.55,High
User_1211,31.89,High
User_1212,12.07,High
User_1213,20.0,High
User_1214,179.09,High
User_1215,20.0,High
User_1216,999.97,Low
User_1217,20.0,High
User_1218,59.86,High
User_1219,288.49,High
User_1220,274.41,High
User_1221,29.6,High
User_1222,37.19,High
User_1223,20.0,High
User_1224,75.34,High
User_1225,40.07,High
User_1226,40.07,High
User_1227,272.24,High
User_1228,306.08,High
User_1229,88.04,High
User_1230,279.73,High
User_1231,20.0,High
User_1232,31.89,High
User_1233,40.07,High
User_1234,59.86,High
User_1235,10.1,High
User_1236,20.0,High
User_1237,40.07,High
User_1238,20.0,High
User_1239,624.47,Medium
User_1240,59.86,High
User_1241,20.0,High
User_1242,20.0,High
User_1243,772.57,Low
User_1244,59.86,High
User_1245,78.31,High
User_1246,40.07,High
User_1247,20.0,High
User_1248,20.0,High
User_1249,59.86,High
User_1250,10.1,High
User_1251,55.97,High
User_1252,20.0,High
User_1253,20.0,High
User_1254,329.47,High
User_1255,20.0,High
User_1256,37.19,High
User_1257,20.0,High
User_1258,78.01,High
User_1259,113.37,High
User_1260,37.19,High
User_1261,31.89,High
User_1262,20.0,High
User_1263,51.16,High
User_1264,31.89,High
User_1265,20.0,High
User_1266,251.88,High
User_1267,37.19,High
User_1268,72.95,High
User_1269,37.19,High
User_1270,605.83,Medium
User_1271,20.0,High
User_1272,139.35,High
User_1273,54.57,High
User_1274,449.84,Medium
User_1275,1000.0,Low
User_1276,29.6,High
User_1277,10.1,High
User_1278,257.9,High
User_1279,762.38,Low
User_1280,40.07,High
User_1281,80.39,High
User_1282,40.07,High
User_1283,10.1,High
User_1284,60.34,High
User_1285,80.39,High
User_1286,1000.0,Low
User_1287,139.14,High
User_1288,200.61,High
User_1289,541.39,Medium
User_1290,47.61,High
User_1291,59.86,High
User_1292,20.0,High
User_1293,37.19,High
User_1294,673.36,Medium
User_1295,182.88,High
User_1296,10.1,High
User_1297,40.07,High
User_1298,31.89,High
User_1299,55.97,High
User_1300,418.46,Medium
User_1301,20.0,High
User_1302,1000.0,Low
User_1303,31.89,High
User_1304,20.0,High
User_1305,626.95,Medium
User_1306,89.42,High
User_1307,38.23,High
User_1308,1.46,High
User_1309,197.77,High
User_1310,47.55,High
User_1311,20.0,High
User_1312,295.41,High
User_1313,291.74,High
User_1314,707.99,Low
User_1315,20.0,High
User_1316,20.0,High
User_1317,10.1,High
User_1318,20.0,High
User_1319,40.07,High
User_1320,25.38,High
User_1321,31.89,High
User_1322,222.52,High
User_1323,20.0,High
User_1324,12.07,High
User_1325,180.38,High
